"","X","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","human100km","human50km","human25km","MPA","STATUS_YR"
"38",38,2009,"09-May-09","Batu Nisan","Malaysia",5.92131,102.725,5.5,"Bleaching (% of population)",0,"ERG049",2.88,304.92,2211140.62304344,464664.847602725,46699.8644294739,"MPA","1994"
"39",39,2010,"22-Sep-10","Batu Nisan","Malaysia",5.92131,102.725,5,"Bleaching (% of population)",9,"ERG049",7.44,304.66,2211140.62304344,464664.847602725,46699.8644294739,"MPA","1994"
"40",40,2007,"09-Jun-07","Coral View Reef","Malaysia",5.90347,102.74,5,"Bleaching (% of population)",115,"ERG049",2.37,303.93,2207409.12782863,423285.314811587,51744.388217926,"Non MPA",NA
"41",41,2009,"31-Mar-09","Tiga Ruang Reef","Malaysia",5.91697,102.754,8,"Bleaching (% of population)",0,"ERG049",1.47,302.8,2181861.07559725,395726.90525043,31162.4303474426,"Non MPA",NA
"42",42,2009,"13-Jun-09","Tiga Ruang Reef","Malaysia",5.91697,102.754,7,"Bleaching (% of population)",0,"ERG049",7.43,304.8,2181861.07559725,395726.90525043,31162.4303474426,"Non MPA",NA
"43",43,2010,"23-Sep-10","Tiga Ruang Reef","Malaysia",5.91697,102.754,9,"Bleaching (% of population)",0,"ERG049",15.72,304.64,2181861.07559725,395726.90525043,31162.4303474426,"Non MPA",NA
"44",44,2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,3,"Bleaching (% of population)",7,"ERG049",2.33,302.53,2164319.90315492,390522.67276752,31162.4303474426,"Non MPA",NA
"45",45,2003,"12-May-03","Tokong Burung","Malaysia",5.92325,102.758,11,"Bleaching (% of population)",8,"ERG049",2.33,302.53,2164319.90315492,390522.67276752,31162.4303474426,"Non MPA",NA
"46",46,2008,"27-Sep-08","Tanjung Besi","Malaysia",5.92356,102.758,5.7,"Bleaching (% of population)",2,"ERG049",1.61,302.6,2164319.81535839,390522.67276752,31162.4303474426,"Non MPA",NA
"47",47,2009,"09-May-09","Tanjung Besi","Malaysia",5.92356,102.758,6,"Bleaching (% of population)",3,"ERG049",2.59,304.77,2164319.81535839,390522.67276752,31162.4303474426,"Non MPA",NA
"48",48,2010,"21-Sep-10","Tanjung Besi","Malaysia",5.92356,102.758,5,"Bleaching (% of population)",60,"ERG049",15.05,304.57,2164319.81535839,390522.67276752,31162.4303474426,"Non MPA",NA
"49",49,2004,"28-Aug-04","NW Redang","Malaysia",5.80306,102.992,10.6,"Bleaching (% of population)",0,"ERG049",0,301.79,1774948.46614563,198514.111855507,2956.42233371735,"Non MPA",NA
"50",50,2004,"12-Jul-04","West Pinang/Tanjung Bakong","Malaysia",5.77361,102.993,6,"Bleaching (% of population)",0,"ERG049",0.2575,302.1,1755784.41248389,244587.625893593,2992.99024677277,"Non MPA",NA
"51",51,2004,"12-Jul-04","East Pinang","Malaysia",5.73417,102.997,6,"Bleaching (% of population)",0,"ERG049",0,302.52,1722199.03923772,360206.126839638,6804.52302265167,"Non MPA",NA
"52",52,2007,"21-Apr-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5.5,"Bleaching (% of population)",15,"ERG049",2.52,303.39,1715992.3637393,310508.473275185,3256.557721138,"Non MPA",NA
"53",53,2007,"01-Oct-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5,"Bleaching (% of population)",0,"ERG049",2.55,302.86,1715992.3637393,310508.473275185,3256.557721138,"Non MPA",NA
"54",54,2008,"27-Jun-08","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.74692,103,5,"Bleaching (% of population)",0,"ERG049",0,300.92,1715992.3637393,310508.473275185,3256.557721138,"Non MPA",NA
"55",55,2008,"27-Jun-08","Chagar Hutang East","Malaysia",5.81766,103.01,10,"Bleaching (% of population)",0,"ERG049",1.44,301.54,1726609.48643795,163269.116127968,2956.42233371735,"Non MPA",NA
"56",56,2009,"16-May-09","Chagar Hutang East","Malaysia",5.81766,103.01,10.3,"Bleaching (% of population)",0,"ERG049",4.36,305.26,1726609.48643795,163269.116127968,2956.42233371735,"Non MPA",NA
"57",57,2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,5,"Bleaching (% of population)",0,"ERG049",0,301.9,1633580.21418518,225881.481789589,2975.63133335114,"MPA","1999"
"58",58,2003,"25-Sep-03","Redang Kalong House Reef","Malaysia",5.76222,103.028,10,"Bleaching (% of population)",0,"ERG049",0,301.9,1633580.21418518,225881.481789589,2975.63133335114,"MPA","1999"
"59",59,2008,"28-Jun-08","Redang Kalong House Reef","Malaysia",5.76222,103.028,7,"Bleaching (% of population)",0,"ERG049",1.10625,301.48,1633580.21418518,225881.481789589,2975.63133335114,"MPA","1999"
"60",60,2009,"15-Aug-09","Redang Kalong House Reef","Malaysia",5.76222,103.028,4.5,"Bleaching (% of population)",0,"ERG049",9.655,302.9,1633580.21418518,225881.481789589,2975.63133335114,"MPA","1999"
"61",61,2004,"25-Sep-04","Pertigi Bay, Redang Island","Malaysia",5.76647,103.032,3,"Bleaching (% of population)",5,"ERG049",0,301.98,1631575.06177561,203674.446267128,2975.63133335114,"MPA","1999"
"62",62,2004,"23-Sep-04","Tg Tengah Southside, Pasir Panjang, Redang Island","Malaysia",5.77447,103.033,3.2,"Bleaching (% of population)",0,"ERG049",0,301.98,1628275.32618627,202555.96286869,2975.63133335114,"MPA","1999"
"63",63,2004,"23-Sep-04","Coral Resort House Reef, Redang Island","Malaysia",5.77583,103.034,3,"Bleaching (% of population)",3,"ERG049",0,301.98,1628093.97665545,202555.96286869,2975.63133335114,"MPA","1999"
"64",64,2003,"18-Oct-03","Coral Redang House Reef North","Malaysia",5.77722,103.034,6,"Bleaching (% of population)",0,"ERG049",0,300.69,1642016.1524367,202555.96286869,2975.63133335114,"MPA","1999"
"65",65,2003,"16-Oct-03","Mini Mount","Malaysia",5.76944,103.034,12,"Bleaching (% of population)",4,"ERG049",0,300.69,1624306.73419993,202861.172890663,2975.63133335114,"MPA","1999"
"66",66,2003,"17-Oct-03","Pulau Paku Kecil","Malaysia",5.76861,103.036,12,"Bleaching (% of population)",0,"ERG049",0,300.69,1624943.07215159,202861.172890663,2975.63133335114,"MPA","1999"
"67",67,2003,"18-Oct-03","Pelangi House Reef South","Malaysia",5.78278,103.036,7,"Bleaching (% of population)",0,"ERG049",0,300.69,1636816.17567393,200317.3727808,2975.63133335114,"MPA","1999"
"68",68,2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,10,"Bleaching (% of population)",7,"ERG049",0,300.69,1538740.92276523,196130.006325722,2975.63133335114,"Non MPA",NA
"69",69,2003,"18-Oct-03","Pulau Lima, Southern Tip","Malaysia",5.76778,103.052,12,"Bleaching (% of population)",0,"ERG049",0,300.69,1538740.92276523,196130.006325722,2975.63133335114,"Non MPA",NA
"70",70,2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,6,"Bleaching (% of population)",0,"ERG049",0,302.23,1527222.77164218,182989.650856972,2975.63133335114,"Non MPA",NA
"71",71,2003,"25-Sep-03","Black Coral Garden","Malaysia",5.77389,103.059,12,"Bleaching (% of population)",0,"ERG049",0,302.23,1527222.77164218,182989.650856972,2975.63133335114,"Non MPA",NA
"72",72,2009,"15-Aug-09","Kerengga Kecil North West","Malaysia",5.75856,103.03,6.4,"Bleaching (% of population)",0,"ERG049",10.38,303,1633580.21418518,228527.907326698,2975.63133335114,"MPA","1999"
"73",73,2004,"11-Jul-04","Palau Kerenga Kecil","Malaysia",5.75528,103.03,9.4,"Bleaching (% of population)",0,"ERG049",0,301.66,1635305.13954209,266836.433693886,2975.63133335114,"Non MPA",NA
"74",74,2004,"29-Aug-04","Tanjung Teluk Nyato","Malaysia",5.84611,103.03,8.7,"Bleaching (% of population)",0,"ERG049",0,301.69,1682863.31731986,108418.613289833,2188.08330631256,"Non MPA",NA
"75",75,2003,"19-Feb-03","Koh Mano (Minor)","Cambodia",10.8461,103.174,4.5,"Bleaching (% of population)",0,"ERG050",2.28,301.6,368800.688033253,93593.6552302316,11822.9870563671,"Non MPA",NA
"76",76,2003,"22-Feb-03","Koh Mano (channel)","Cambodia",10.8389,103.182,2,"Bleaching (% of population)",0,"ERG050",2.28,301.6,368920.71770969,115033.36518354,11611.5888172314,"Non MPA",NA
"77",77,2003,"28-Feb-03","Koh Mano (south)","Cambodia",10.8256,103.193,4.5,"Bleaching (% of population)",0,"ERG050",1.08,303.02,374419.171305805,124654.060718887,11257.5538629219,"Non MPA",NA
"78",78,2003,"24-Feb-03","Koh Ta Team","Cambodia",10.8007,103.197,5,"Bleaching (% of population)",0,"ERG050",1.26,301.49,377590.697951465,127837.514600389,10250.3770364448,"Non MPA",NA
"79",79,2009,"15-Feb-09","Tuear Khang Cherng","Cambodia",10.7799,103.235,4,"Bleaching (% of population)",15,"ERG050",0.171666666666667,301.916666666667,402829.942179829,137317.590718858,9782.30449592322,"Non MPA",NA
"80",80,2009,"14-Feb-09","Poy Koh Rong","Cambodia",10.7739,103.255,4,"Bleaching (% of population)",0,"ERG050",0,302.25,430044.694209247,141974.63231384,10005.6679755375,"Non MPA",NA
"81",81,2010,"16-Apr-10","KR24","Cambodia",10.6647,103.257,7,"Bleaching (% of population)",6,"ERG050",6.31333333333333,304.576666666667,416453.355735451,143034.892740637,6326.95583378524,"Non MPA",NA
"82",82,2010,"28-Sep-10","Coral Garden 3, Kapas","Malaysia",5.23222,103.26,8.5,"Bleaching (% of population)",20,"ERG049",2.07,303.61,847232.456647709,540329.280813217,305527.039108276,"Non MPA",NA
"83",83,2010,"28-Sep-10","Coral Garden 1, Kapas","Malaysia",5.23306,103.261,5.5,"Bleaching (% of population)",40,"ERG049",2.07,303.61,847232.456647709,540329.280813217,305527.039108276,"Non MPA",NA
"84",84,2009,"13-Aug-09","KR22A","Cambodia",10.6514,103.262,4,"Bleaching (% of population)",2,"ERG050",0,299.15,419579.465638786,142245.66448465,8061.16192661971,"Non MPA",NA
"85",85,2009,"14-Feb-09","Kos Borng (Koh Rong)","Cambodia",10.7593,103.265,3,"Bleaching (% of population)",5,"ERG050",0,302.25,434000.318270832,144369.012959592,9019.57833396643,"Non MPA",NA
"86",86,2009,"18-Sep-09","KS06A","Cambodia",10.6073,103.278,9,"Bleaching (% of population)",0,"ERG050",0,301.61,466879.310982376,146919.855123117,7949.249969244,"Non MPA",NA
"87",87,2009,"13-Aug-09","KS04A","Cambodia",10.6096,103.279,6,"Bleaching (% of population)",0,"ERG050",0,299.2,467749.866960197,146919.855123117,7949.249969244,"Non MPA",NA
"88",88,2010,"27-Sep-10","Teluk Jawa, Kapas","Malaysia",5.20889,103.268,5,"Bleaching (% of population)",20,"ERG049",2.07,303.61,840304.939966992,543372.009519577,293083.358322144,"Non MPA",NA
"89",89,2009,"31-Aug-09","KR21A","Cambodia",10.6498,103.269,8,"Bleaching (% of population)",0,"ERG050",0,300.29,422586.078279167,142245.859865978,8061.16192661971,"Non MPA",NA
"90",90,2010,"28-Sep-10","Silent Reef, Kapas","Malaysia",5.22694,103.269,8,"Bleaching (% of population)",40,"ERG049",2.07,303.61,847479.51182349,540167.123342514,305527.039108276,"Non MPA",NA
"91",91,2010,"17-Apr-10","KS02","Cambodia",10.6206,103.287,9,"Bleaching (% of population)",0,"ERG050",5.86625,304.65125,472786.765261322,153695.932004526,7949.249969244,"Non MPA",NA
"92",92,2009,"11-Sep-09","KS05A","Cambodia",10.6211,103.288,8,"Bleaching (% of population)",5,"ERG050",0,301.79875,472786.765261322,153695.932004526,7949.249969244,"Non MPA",NA
"93",93,2009,"28-Aug-09","KS03C","Cambodia",10.6222,103.289,10,"Bleaching (% of population)",0,"ERG050",0,301.065,473606.702639252,153806.708020761,7949.249969244,"Non MPA",NA
"94",94,2009,"27-Aug-09","KS03A","Cambodia",10.6223,103.29,9,"Bleaching (% of population)",0,"ERG050",0,301.065,473606.702639252,153806.708020761,7949.249969244,"Non MPA",NA
"95",95,2009,"27-Aug-09","KS03B","Cambodia",10.6225,103.29,5,"Bleaching (% of population)",0,"ERG050",0,301.065,473692.110865265,153806.708020761,7949.249969244,"Non MPA",NA
"96",96,2009,"14-Aug-09","KR18A","Cambodia",10.6701,103.291,4,"Bleaching (% of population)",2,"ERG050",10.52,302.05,476430.658090263,156632.284349993,8061.16192661971,"Non MPA",NA
"97",97,2009,"14-Aug-09","KR17A","Cambodia",10.6688,103.292,5,"Bleaching (% of population)",0,"ERG050",10.52,302.05,476350.506761223,156632.284349993,8061.16192661971,"Non MPA",NA
"98",98,2010,"22-Mar-10","KR17A","Cambodia",10.6688,103.292,4,"Bleaching (% of population)",1,"ERG050",5.18,304.23,476350.506761223,156632.284349993,8061.16192661971,"Non MPA",NA
"99",99,2009,"10-Mar-09","Fishing Bay","Cambodia",10.6231,103.295,5,"Bleaching (% of population)",110,"ERG050",0,303.34,474674.031950622,154387.239825323,52896.898406744,"Non MPA",NA
"100",100,2009,"18-Mar-09","Fishing Bay","Cambodia",10.6231,103.295,3,"Bleaching (% of population)",65,"ERG050",2.64,304.36,474674.031950622,154387.239825323,52896.898406744,"Non MPA",NA
"101",101,2009,"14-Apr-09","Fishing Bay","Cambodia",10.6231,103.295,3,"Bleaching (% of population)",0,"ERG050",5.38,303.84,474674.031950622,154387.239825323,52896.898406744,"Non MPA",NA
"102",102,2009,"26-Jul-09","Fishing Bay","Cambodia",10.6231,103.295,3,"Bleaching (% of population)",0,"ERG050",0,302,474674.031950622,154387.239825323,52896.898406744,"Non MPA",NA
"103",103,2009,"24-Aug-09","KK03B","Cambodia",10.6305,103.295,10,"Bleaching (% of population)",0,"ERG050",0,301.51,475599.06465879,155889.349948004,52896.898406744,"Non MPA",NA
"104",104,2010,"03-Apr-10","KK03","Cambodia",10.6292,103.295,8,"Bleaching (% of population)",0,"ERG050",5.21,303.32,475599.06465879,154498.015841558,52896.898406744,"Non MPA",NA
"105",105,2010,"17-Apr-10","KK03","Cambodia",10.6292,103.295,3,"Bleaching (% of population)",0,"ERG050",5.21,304.39,475599.06465879,154498.015841558,52896.898406744,"Non MPA",NA
"106",106,2009,"12-Aug-09","KK03A","Cambodia",10.6263,103.297,4,"Bleaching (% of population)",1,"ERG050",0,301.61,475224.327025085,155889.349948004,52896.898406744,"Non MPA",NA
"107",107,2009,"08-Aug-09","KR12A","Cambodia",10.7111,103.297,3,"Bleaching (% of population)",0,"ERG050",10.92,303.64,479051.971535355,159346.298044004,10925.9893199131,"Non MPA",NA
"108",108,2009,"03-Sep-09","KK03C","Cambodia",10.626,103.298,6,"Bleaching (% of population)",0,"ERG050",0,301.39,475475.894667297,156033.582034185,52896.898406744,"Non MPA",NA
"109",109,2009,"01-Aug-09","KR02A","Cambodia",10.6793,103.299,3,"Bleaching (% of population)",0,"ERG050",10.52,302.7,479216.108672768,158904.867996968,33243.794411771,"Non MPA",NA
"110",110,2009,"11-Aug-09","KK04A","Cambodia",10.6258,103.299,4,"Bleaching (% of population)",0,"ERG050",0,301.72,475475.894667297,156033.582034185,52896.898406744,"Non MPA",NA
"111",111,2010,"02-Apr-10","KK01A","Cambodia",10.6358,103.299,9,"Bleaching (% of population)",4,"ERG050",5.21,303.32,476727.906171471,156252.852433994,54015.7725617886,"Non MPA",NA
"112",112,2009,"05-Aug-09","KK06A","Cambodia",10.6341,103.305,4,"Bleaching (% of population)",0,"ERG050",0,301.72,477710.943235069,156395.960625246,54103.1055696011,"Non MPA",NA
"113",113,2009,"31-Aug-09","KR05C","Cambodia",10.6875,103.307,3,"Bleaching (% of population)",0,"ERG050",10.52,301.57,481410.996622711,161615.855135716,33289.0267726108,"Non MPA",NA
"114",114,2009,"07-Aug-09","KR06A","Cambodia",10.6905,103.312,4,"Bleaching (% of population)",1,"ERG050",10.52,302.36,481942.496927887,161615.855135716,55629.2833644077,"Non MPA",NA
"115",115,2009,"22-Apr-09","Vietnamese Bay","Cambodia",10.6257,103.313,4,"Bleaching (% of population)",10,"ERG050",5.38,303.64,480383.15879026,157821.607063844,54073.9526059628,"Non MPA",NA
"116",116,2009,"07-Aug-09","KR06B","Cambodia",10.6917,103.313,4,"Bleaching (% of population)",1,"ERG050",10.52,302.36,482473.771891266,161585.29105071,55629.2833644077,"Non MPA",NA
"117",117,2009,"11-Aug-09","KS12A","Cambodia",10.6258,103.313,4,"Bleaching (% of population)",1,"ERG050",0,301.72,480383.15879026,157821.607063844,54073.9526059628,"Non MPA",NA
"118",118,2009,"02-Sep-09","KS12B","Cambodia",10.6257,103.313,3,"Bleaching (% of population)",0,"ERG050",0,301.39,480383.15879026,157821.607063844,54073.9526059628,"Non MPA",NA
"119",119,2009,"18-Aug-09","KK01A","Cambodia",10.6366,103.301,5,"Bleaching (% of population)",0,"ERG050",0,301.61,477790.980695396,156397.084520176,54015.7725617886,"Non MPA",NA
"120",120,2009,"03-Aug-09","KR07A","Cambodia",10.6993,103.316,5,"Bleaching (% of population)",1,"ERG050",10.52,302.7,490079.29250589,165756.860264577,55629.2833644077,"Non MPA",NA
"121",121,2007,"20-Apr-07","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,10,"Bleaching (% of population)",10,"ERG049",4.28,303.3,1624124.73529193,200317.3727808,2975.63133335114,"MPA","1999"
"122",122,2007,"01-Oct-07","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,11,"Bleaching (% of population)",0,"ERG049",4.22,302.49,1624124.73529193,200317.3727808,2975.63133335114,"MPA","1999"
"123",123,2008,"30-Mar-08","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,8,"Bleaching (% of population)",0,"ERG049",4.43,303.27,1624124.73529193,200317.3727808,2975.63133335114,"MPA","1999"
"124",124,2008,"20-Jun-08","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,11,"Bleaching (% of population)",0,"ERG049",3.83,303.17,1624124.73529193,200317.3727808,2975.63133335114,"MPA","1999"
"125",125,2009,"14-Aug-09","Pulau Paku Kecil SW","Malaysia",5.77169,103.039,9.7,"Bleaching (% of population)",0,"ERG049",10.38,303,1624124.73529193,200317.3727808,2975.63133335114,"MPA","1999"
"126",126,2009,"27-May-09","Koh Poah (Site 7)","Cambodia",10.632,103.477,2.5,"Bleaching (% of population)",0,"ERG050",0,303.6,624720.395388275,225724.208796419,119569.865305424,"Non MPA",NA
"127",127,2009,"26-May-09","Koh Poah (Site 2)","Cambodia",10.624,103.477,3,"Bleaching (% of population)",0,"ERG050",0,303.68,623247.570275455,222547.50792972,119514.282328129,"Non MPA",NA
"128",128,2009,"27-May-09","Koh Poah (Site 5)","Cambodia",10.6318,103.487,3,"Bleaching (% of population)",0,"ERG050",0,303.6,634897.059443146,231537.594355501,121088.068827152,"Non MPA",NA
"129",129,2009,"29-May-09","Koh Poah (Site 8)","Cambodia",10.6261,103.487,4,"Bleaching (% of population)",0,"ERG050",0,303.6,634764.895064026,229791.000605501,121946.61081934,"Non MPA",NA
"130",130,2009,"29-May-09","Koh Poah (Site 6)","Cambodia",10.6231,103.484,4,"Bleaching (% of population)",0,"ERG050",0,303.6,629742.389421135,226225.101740755,120372.824320316,"Non MPA",NA
"131",131,2009,"29-May-09","Koh Poah (Site 3)","Cambodia",10.6329,103.498,3,"Bleaching (% of population)",0,"ERG050",0.28,303.21,659697.922358185,235518.196864046,121551.471925974,"Non MPA",NA
"132",132,2009,"26-May-09","Koh Poah (Site 4)","Cambodia",10.6248,103.485,3,"Bleaching (% of population)",0,"ERG050",0,303.68,634764.895064026,228644.387568392,121946.61081934,"Non MPA",NA
"133",133,2009,"28-May-09","Koh Poah (Site 1)","Cambodia",10.6324,103.485,3,"Bleaching (% of population)",40,"ERG050",0,303.6,634897.059443146,231537.594355501,121088.068827152,"Non MPA",NA
