"","Year","Date","Site","Region","Latitude.Degrees","Longitude.Degrees","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","human100km","human50km","human25km","MPA","STATUS_YR","pop100km","pop50km","pop25km"
"140",2003,"27-Feb-03","Koh Krosa Kandal","Cambodia",11.0662,103.077,3.2,"Bleaching (% of population)",0,"ERG050",6.152,303.1,360680.08531212,31639.7221918777,7725.54795916378,"Non MPA",NA,328783.527989414,31039.5120643191,7282.18000994623
"151",2003,"26-Feb-03","Koh Krosa Khnong","Cambodia",11.052,103.087,4.5,"Bleaching (% of population)",50,"ERG050",6.152,303.1,364383.489931337,32234.158200331,8087.39904101193,"Non MPA",NA,328002.564009927,30786.1499178819,7321.26786465943
"152",2003,"18-Feb-03","Koh Smach","Cambodia",10.8968,103.099,3,"Bleaching (% of population)",0,"ERG050",3.75,302.41,347079.63954845,29126.7156098559,7601.91550099105,"Non MPA",NA,317670.662738234,21885.7358404398,6599.02738324553
"244",2003,"29-Oct-03","Flying Fish Cove","Australia",-10.4292,105.667,3.5,"Bleaching (% of population)",0,"ERG105",0,299.328333333333,2065.61226178752,2065.61226178752,2065.61226178752,"Non MPA",NA,2062.89987400775,2062.89987400775,2062.89987400775
"245",2003,"29-Oct-03","Flying Fish Cove","Australia",-10.4292,105.667,6.5,"Bleaching (% of population)",0,"ERG105",0,299.328333333333,2065.61226178752,2065.61226178752,2065.61226178752,"Non MPA",NA,2062.89987400775,2062.89987400775,2062.89987400775
"254",2003,"27-Oct-03","Chicken Farm","Australia",-10.4154,105.685,6,"Bleaching (% of population)",0,"ERG105",0,299.116666666667,2065.61226178752,2065.61226178752,2065.61226178752,"Non MPA",NA,2062.89987400775,2062.89987400775,2062.89987400775
"255",2003,"27-Oct-03","Chicken Farm","Australia",-10.4154,105.685,11,"Bleaching (% of population)",0,"ERG105",0,299.116666666667,2065.61226178752,2065.61226178752,2065.61226178752,"Non MPA",NA,2062.89987400775,2062.89987400775,2062.89987400775
"282",2003,"28-Aug-03","Cat Ba","Vietnam",20.7389,107.058,3.2,"Bleaching (% of population)",0,"ERG053",2.37833333333333,302.955,8220283.60218704,1924258.56394291,126807.744017601,"MPA",2002,8011573.87926978,1898509.0139249,106518.874239743
"283",2003,"27-Sep-03","Coc Cheo","Vietnam",20.7542,107.104,4.7,"Bleaching (% of population)",0,"ERG053",0,301.63,7496908.04041183,1708457.51265812,141538.383236885,"MPA",2002,7227217.40995097,1646047.89452565,144371.855532467
"284",2003,"27-Sep-03","Ang Du","Vietnam",20.8042,107.116,3,"Bleaching (% of population)",0,"ERG053",0,301.76,7375195.43126571,1781074.69384098,237285.239332199,"MPA",2002,7034578.16891992,1652005.52764982,233760.127173364
"285",2003,"27-Sep-03","To Cac Be","Vietnam",20.7917,107.125,3.5,"Bleaching (% of population)",0,"ERG053",0,301.76,7293371.47737777,1579687.92784977,196252.576841831,"MPA",2002,6925887.70313966,1556991.63127798,212212.351692975
"286",2003,"27-Sep-03","Cong Do","Vietnam",20.8208,107.156,4,"Bleaching (% of population)",0,"ERG053",0,301.89,6825658.68638006,1453022.45216799,231651.416854382,"MPA",2002,6512829.22140437,1290493.38031751,269147.465746164
"287",2003,"27-Sep-03","Bu Xam","Vietnam",20.8458,107.178,3,"Bleaching (% of population)",0,"ERG053",0,302.3,6553250.37635198,1011992.44411135,257454.970344067,"MPA",2002,6226566.21810204,994575.754166901,321518.140040994
"288",2003,"27-Sep-03","Doi Xo","Vietnam",20.9875,107.571,5,"Bleaching (% of population)",0,"ERG053",1.29,301.32,2674053.96915784,405706.43693912,49830.7890911102,"Non MPA",NA,2475090.88644534,387673.43023175,58668.1900613308
"289",2003,"27-Sep-03","Cua Vanh","Vietnam",21.1042,107.619,5,"Bleaching (% of population)",0,"ERG053",1.46,301.35,2088327.33205763,394058.456919342,51911.6749987602,"MPA",2001,1930644.57003385,359809.647191048,37785.7796801925
"520",2003,"09-Oct-03","Lai Chi Wo","China",22.5381,114.265,3,"Bleaching (% of population)",4,"ERG055",3.92,300.95,35480240.870451,18901656.7672648,7046293.6598978,"Non MPA",NA,30329560.1116122,15887145.951203,6592591.2177401
"526",2003,"09-Aug-03","Pak Ma Tsui","China",22.3628,114.274,2,"Bleaching (% of population)",0,"ERG055",3.24,301.88,32783995.8175488,15345015.3653879,6139401.44906425,"Non MPA",NA,28161682.0429245,13274419.2517971,5772505.5459315
"555",2003,"27-Sep-03","Shelter Island","China",22.3292,114.293,4,"Bleaching (% of population)",0,"ERG055",0,300.14,31795095.7499218,14189945.4972391,5715213.6694622,"Non MPA",NA,27374795.4568658,12432866.5722519,5455845.89497048
"568",2002,"27-Jul-02","Sharp Island South","China",22.3544,114.295,5,"Bleaching (% of population)",0,"ERG055",4.58,301.08,32305772.3290005,14806226.1083879,5913755.49764824,"Non MPA",NA,27725966.0144606,12892836.1173657,5624411.77414291
"569",2003,"30-Aug-03","Sharp Island South","China",22.3544,114.295,3,"Bleaching (% of population)",7,"ERG055",3.53,301.96,32305772.3290005,14806226.1083879,5913755.49764824,"Non MPA",NA,27725966.0144606,12892836.1173657,5624411.77414291
"578",2003,"26-Jul-03","Kat O Mid","China",22.551,114.303,3,"Bleaching (% of population)",0,"ERG055",11.89,302.57,34722393.817625,18154068.410255,5901553.3161478,"Non MPA",NA,29743307.9710333,15485389.5010393,4424747.11088483
"580",2002,"08-Oct-02","Kat O (Tun Tau)","China",22.5511,114.304,2.5,"Bleaching (% of population)",0,"ERG055",1.36,299.29,34698896.7570782,18154068.410255,5484209.9098978,"Non MPA",NA,29727097.5895149,15463175.9912203,4310167.03836744
"581",2002,"23-Jun-02","Kat O North 1","China",22.5507,114.304,1.5,"Bleaching (% of population)",0,"ERG055",5.86,301.24,34698896.7570782,18154068.410255,5484209.9098978,"Non MPA",NA,29726663.7134926,15460108.5753878,4313726.8054878
"588",2003,"26-Jul-03","Kai Kon Tau, Kat O","China",22.5504,114.314,3,"Bleaching (% of population)",0,"ERG055",11.89,302.57,34592197.4290752,18117161.3978038,4768911.07696629,"Non MPA",NA,29585822.1955541,15301901.7538517,4045390.36391775
"589",2003,"23-Aug-03","Double Island","China",22.5231,114.316,3,"Bleaching (% of population)",0,"ERG055",8.32,302.11,34242590.1451397,17642728.3472667,5719137.43017197,"Non MPA",NA,29303394.7834898,14919740.3932804,4840032.62708943
"596",2002,"22-Sep-02","Crescent Island North","China",22.5337,114.312,2.5,"Bleaching (% of population)",0,"ERG055",1,300.04,34412315.0784283,17846264.1021495,5362364.19598484,"Non MPA",NA,29460931.1234804,15113717.2663607,4683129.18864243
"597",2003,"23-Aug-03","Crescent Island North","China",22.5337,114.312,3,"Bleaching (% of population)",0,"ERG055",8.32,302.11,34412315.0784283,17846264.1021495,5362364.19598484,"Non MPA",NA,29460931.1234804,15113717.2663607,4683129.18864243
"611",2002,"28-Jul-02","Hoi Ha Wan Pier","China",22.4664,114.331,2.5,"Bleaching (% of population)",0,"ERG055",2.08,301.03,33026035.0429974,16345455.1881075,5670815.34964371,"Non MPA",NA,28351195.3677193,14181971.1479101,5491724.03030498
"612",2003,"07-Sep-03","Hoi Ha Wan Pier","China",22.4664,114.331,5,"Bleaching (% of population)",7,"ERG055",5.39,301.72,33026035.0429974,16345455.1881075,5670815.34964371,"Non MPA",NA,28351195.3677193,14181971.1479101,5491724.03030498
"613",2003,"15-Jul-03","Moon Island (Hoi Ha Wan)","China",22.4803,114.333,4.2,"Bleaching (% of population)",0,"ERG055",3.67,303,33151344.8441448,16448751.3907552,5310089.20218277,"Non MPA",NA,28408649.3917296,14264345.7608237,5098087.30276836
"627",2002,"29-Aug-02","Tai She Wan","China",22.3591,114.336,3.4,"Bleaching (% of population)",0,"ERG055",0.34,301.666666666667,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA,27072136.8370001,12529531.4675467,5365202.78784712
"628",2003,"06-Sep-03","Tai She Wan","China",22.3591,114.336,0.5,"Bleaching (% of population)",1,"ERG055",5.38666666666667,301.13,31508215.256628,14285199.6911945,5642612.5966301,"Non MPA",NA,27072136.8370001,12529531.4675467,5365202.78784712
"630",2003,"18-Sep-03","Ninepin South","China",22.2558,114.342,2,"Bleaching (% of population)",0,"ERG055",5.18,299.47,28396912.5070019,11110963.4687662,4696140.84518147,"Non MPA",NA,24128592.8149797,9847552.2125289,4440711.39080858
"635",2002,"28-Jun-02","Ninepin North","China",22.2637,114.349,6,"Bleaching (% of population)",0,"ERG055",11.54,301.38,28468829.5454311,11164383.8810015,4680601.77010822,"Non MPA",NA,24196569.5328963,9925729.21675153,4440014.06226593
"636",2002,"08-Aug-02","Kwo Chau Wan, Ninepin Group","China",22.2586,114.351,6,"Bleaching (% of population)",0,"ERG055",2.91,300.86,28381963.3320522,11110796.0084429,4680601.77010822,"Non MPA",NA,24030179.2718061,9811676.82153316,4356841.46438676
"637",2003,"02-Aug-03","Kwo Chau Wan, Ninepin Group","China",22.2586,114.351,3,"Bleaching (% of population)",50,"ERG055",4.37,304.36,28381963.3320522,11110796.0084429,4680601.77010822,"Non MPA",NA,24030179.2718061,9811676.82153316,4356841.46438676
"641",2003,"27-Jul-03","Pak Y","China",22.3633,114.353,2,"Bleaching (% of population)",0,"ERG055",6.945,301.851666666667,31156679.7239666,14044722.0745564,5089017.29914474,"Non MPA",NA,26820020.8456361,12351126.7161274,4983076.40186317
"646",2003,"20-Sep-03","Port Island","China",22.5017,114.356,1,"Bleaching (% of population)",0,"ERG055",5.45,299.92,33075782.9933453,16449015.6413045,4118976.24517441,"MPA",1978,28264419.1025854,14104019.50642,3336911.62448971
"653",2003,"05-Sep-03","Pak Lap Chai","China",22.3528,114.365,4.6,"Bleaching (% of population)",20,"ERG055",6.28,301.09,30611302.5902386,13505885.6535368,4903881.46857834,"Non MPA",NA,26345349.614711,11893820.3557608,4683245.60798958
"656",2003,"14-Sep-03","Fo Tau Fun Chau","China",22.3379,114.364,4,"Bleaching (% of population)",0,"ERG055",5.03,302.02,30400341.568388,13090945.501009,4795351.92211533,"Non MPA",NA,25928957.4353998,11533173.798082,4748597.18623999
"669",2002,"21-Jul-02","Pak Lap Tsai","China",22.3527,114.369,7,"Bleaching (% of population)",7,"ERG055",5.15,300.83,30544715.1762981,13295865.3055868,4902621.89985275,"Non MPA",NA,26234293.9622855,11798465.7527691,4563944.06767443
"686",2002,"20-Jul-02","Ah Ye Wan (Tung Ping Chau)","China",22.5461,114.431,2.1,"Bleaching (% of population)",0,"ERG055",3.66,302.6,31831677.73522,15072268.944222,1189728.22911549,"Non MPA",NA,27284259.8989004,12910449.7889357,867560.321161851
"687",2003,"28-Sep-03","Ah Ye Wan (Tung Ping Chau)","China",22.5461,114.431,2,"Bleaching (% of population)",0,"ERG055",6.56,300.13,31831677.73522,15072268.944222,1189728.22911549,"Non MPA",NA,27284259.8989004,12910449.7889357,867560.321161851
"689",2002,"29-Sep-02","Wong Ye Kwok, Tung Ping Chau","China",22.5446,114.434,2.5,"Bleaching (% of population)",0,"ERG055",2.61,299.66,31662093.9415188,15077088.8631673,1131018.8746233,"Non MPA",NA,27183440.108785,12816486.4189139,827742.208517656
"690",2003,"27-Aug-03","Wong Ye Kwok, Tung Ping Chau","China",22.5446,114.434,2,"Bleaching (% of population)",0,"ERG055",5.38,303.04,31662093.9415188,15077088.8631673,1131018.8746233,"Non MPA",NA,27183440.108785,12816486.4189139,827742.208517656
"692",2003,"28-Sep-03","Ping Chau (A Ma Wan)","China",22.5417,114.44,2,"Bleaching (% of population)",0,"ERG055",6.56,300.13,31611728.6827927,14530814.2586751,1131018.8746233,"Non MPA",NA,27084430.4934662,12663007.9824133,767296.086933121
"731",2003,"19-Jun-03","Pulau Daunan","Malaysia",7.37783,117.202,2,"Bleaching (% of population)",100,"ERG045",0,301.89,170687.091685116,51609.0676342845,36278.2469539642,"Non MPA",NA,126468.125898782,14154.8234873302,8908.92895634472
"732",2003,"20-Jun-03","Bankawan East","Malaysia",7.37267,117.222,4,"Bleaching (% of population)",40,"ERG045",0,301.802,170876.832499325,51609.1780042648,36152.4230632782,"Non MPA",NA,126079.591982909,14147.7168455608,8712.17451675236
"733",2003,"18-Jun-03","Pulau Tagajawan","Malaysia",7.3,117.277,1.5,"Bleaching (% of population)",310,"ERG045",0.715,302.09,178225.113957405,54738.9227120876,34640.9290924072,"Non MPA",NA,132453.574841328,16876.3891021423,7591.15589941666
"734",2003,"17-Jun-03","Bankawan Reef (SW)","Malaysia",7.19417,117.297,6,"Bleaching (% of population)",40,"ERG045",0,302.55,201648.622381568,61344.5346632004,29537.9843489528,"Non MPA",NA,154610.135359459,21833.9626706652,4122.42714775726
"735",2003,"16-Jun-03","Kampong Dogoton (Pulau Banggi)","Malaysia",7.35183,117.285,4,"Bleaching (% of population)",0,"ERG045",0,301.91,169515.376799583,51398.1026284695,32372.9115695953,"Non MPA",NA,124901.211015709,14431.1254283823,8163.78432076424
"736",2003,"13-Jun-03","Bankawan 1","Malaysia",7.23233,117.295,3.7,"Bleaching (% of population)",0,"ERG045",1.44,302.36,190687.25863874,58778.6642892361,29413.0294735432,"Non MPA",NA,140728.196156569,20265.2263500355,4016.91219915077
"737",2003,"13-Jun-03","Bankawan 1","Malaysia",7.23233,117.295,7.6,"Bleaching (% of population)",0,"ERG045",1.44,302.36,190687.25863874,58778.6642892361,29413.0294735432,"Non MPA",NA,140728.196156569,20265.2263500355,4016.91219915077
"738",2003,"13-Jun-03","Bankawan 2","Malaysia",7.28433,117.321,2.7,"Bleaching (% of population)",0,"ERG045",0,302.36,177036.681263924,54650.9917199612,25672.3271656036,"Non MPA",NA,130472.481782861,16706.3446997367,3387.98063489422
"739",2003,"22-Jun-03","Pulau Guhan","Malaysia",7.37533,117.325,4.2,"Bleaching (% of population)",0,"ERG045",0,301.14,157809.293532372,48067.4860188961,25431.5527381897,"Non MPA",NA,119807.123751737,12446.8303170241,7505.02443232387
"742",2003,"18-Jun-03","Banggi Outer Northeast Reef 1","Malaysia",7.39333,117.343,5.1,"Bleaching (% of population)",20,"ERG045",0,301.14,151631.842803001,45958.0884863734,23630.2859230042,"Non MPA",NA,115634.351679184,11544.6759918891,7139.02315535396
"743",2003,"19-Jun-03","Pulau Kalangkaman 1","Malaysia",7.34717,117.347,4,"Bleaching (% of population)",20,"ERG045",1.11,301.14,157980.987900734,47886.5477120876,26348.7218074799,"Non MPA",NA,121086.616001494,13195.2135980316,7457.32985713333
"744",2003,"14-Jun-03","Pulau Latoan (Bankawan Reef)","Malaysia",7.26033,117.348,4.9,"Bleaching (% of population)",0,"ERG045",0,302.36,176914.277624488,53754.4772393703,22489.7996997833,"Non MPA",NA,129473.053689428,16969.3696494587,2724.23914762959
"745",2003,"18-Jun-03","Banggi Outer Northeast Reef 2","Malaysia",7.38967,117.353,6.1,"Bleaching (% of population)",90,"ERG045",0,301.14,149199.242377281,45958.0884863734,22290.2876319885,"Non MPA",NA,115418.689751662,11448.9223777615,7071.65838184208
"746",2003,"19-Jun-03","Pulau Kalangkaman 2","Malaysia",7.33883,117.355,3.6,"Bleaching (% of population)",100,"ERG045",1.11,301.14,160437.499402046,47885.0897729397,25131.5770320892,"Non MPA",NA,121210.160679825,13340.3813415356,6140.36004617065
"748",2003,"17-Jun-03","Bankawan Reef 3","Malaysia",7.2665,117.376,3,"Bleaching (% of population)",5,"ERG045",0,301.91,171864.929624915,51208.3741204739,16472.2433795929,"Non MPA",NA,125679.09305384,15917.6211693771,2114.93522004411
"817",2003,"09-Oct-03","Pasoso 4","Indonesia",0.0944444,119.614,3,"Bleaching (% of population)",9,"ERG036",0,302.62,371132.661449015,91570.8786010742,9124.38296508789,"Non MPA",NA,291783.906123981,62626.3982385099,5513.52455633879
"818",2003,"09-Oct-03","Pasoso 4","Indonesia",0.0944444,119.614,10,"Bleaching (% of population)",15,"ERG036",0,302.62,371132.661449015,91570.8786010742,9124.38296508789,"Non MPA",NA,291783.906123981,62626.3982385099,5513.52455633879
"819",2002,"16-Sep-02","Pasoso 2","Indonesia",0.0852222,119.623,10,"Bleaching (% of population)",0,"ERG036",0,302.32,386197.989986002,102158.667419434,10294.5132608414,"Non MPA",NA,299463.923615322,65516.2922256887,6168.66340962052
"820",2003,"07-Oct-03","Pasoso 2","Indonesia",0.0852222,119.623,3,"Bleaching (% of population)",5,"ERG036",0,302.27,386197.989986002,102158.667419434,10294.5132608414,"Non MPA",NA,299463.923615322,65516.2922256887,6168.66340962052
"821",2003,"07-Oct-03","Pasoso 2","Indonesia",0.0852222,119.623,10,"Bleaching (% of population)",4,"ERG036",0,302.27,386197.989986002,102158.667419434,10294.5132608414,"Non MPA",NA,299463.923615322,65516.2922256887,6168.66340962052
"822",2003,"07-Oct-03","Pasoso 1","Indonesia",0.0913889,119.624,3,"Bleaching (% of population)",0,"ERG036",0,302.27,372268.852534831,101000.213928223,10294.5132608414,"Non MPA",NA,296893.082998142,65544.0196842849,6077.81166380644
"823",2003,"07-Oct-03","Pasoso 1","Indonesia",0.0913889,119.624,10,"Bleaching (% of population)",10,"ERG036",0,302.27,372268.852534831,101000.213928223,10294.5132608414,"Non MPA",NA,296893.082998142,65544.0196842849,6077.81166380644
"826",2003,"17-Sep-03","Tawaeli Talise","Indonesia",-0.726417,119.854,3,"Bleaching (% of population)",7,"ERG036",0,301.5,992740.632542491,564406.763340652,307997.580654144,"Non MPA",NA,877908.162017033,598837.671124995,356342.101935506
"827",2003,"17-Sep-03","Tawaeli Talise","Indonesia",-0.726417,119.854,10,"Bleaching (% of population)",0,"ERG036",0,301.5,992740.632542491,564406.763340652,307997.580654144,"Non MPA",NA,877908.162017033,598837.671124995,356342.101935506
"830",2003,"07-Sep-03","Tawaeli Kadongo","Indonesia",-0.747722,119.856,10,"Bleaching (% of population)",0,"ERG036",0,301.49,1003647.78513038,574148.43121022,339901.541957855,"Non MPA",NA,880852.6932313,605775.142006457,378031.184826016
"831",2003,"20-Sep-03","Tawaeli Kadongo","Indonesia",-0.747722,119.856,3,"Bleaching (% of population)",0,"ERG036",0,301.5,1003647.78513038,574148.43121022,339901.541957855,"Non MPA",NA,880852.6932313,605775.142006457,378031.184826016
"840",2003,"08-Oct-03","Pasoso 3","Indonesia",0.0891667,119.617,3,"Bleaching (% of population)",1,"ERG036",0,302.62,372268.852534831,96842.2860717773,10294.5132608414,"Non MPA",NA,295292.159946308,63641.5902875364,5765.56478005648
"841",2003,"08-Oct-03","Pasoso 3","Indonesia",0.0891667,119.617,10,"Bleaching (% of population)",8,"ERG036",0,302.62,372268.852534831,96842.2860717773,10294.5132608414,"Non MPA",NA,295292.159946308,63641.5902875364,5765.56478005648
"844",2003,"13-Oct-03","Labuana 1","Indonesia",-0.146556,119.806,3,"Bleaching (% of population)",8,"ERG036",0,302.765,739176.097768545,161172.985106289,59436.4119291306,"Non MPA",NA,684430.293475851,111423.254540935,41696.1665187776
"845",2003,"13-Oct-03","Labuana 1","Indonesia",-0.146556,119.806,10,"Bleaching (% of population)",5,"ERG036",0,302.765,739176.097768545,161172.985106289,59436.4119291306,"Non MPA",NA,684430.293475851,111423.254540935,41696.1665187776
"846",2003,"14-Oct-03","Labuana 2","Indonesia",0.139889,119.808,3,"Bleaching (% of population)",0,"ERG036",1.07,302.59,424917.110176265,157538.449895918,42413.9064846039,"Non MPA",NA,316784.855351783,100552.377422199,31522.0637667552
"847",2003,"14-Oct-03","Labuana 2","Indonesia",0.139889,119.808,10,"Bleaching (% of population)",0,"ERG036",1.07,302.59,424917.110176265,157538.449895918,42413.9064846039,"Non MPA",NA,316784.855351783,100552.377422199,31522.0637667552
"848",2003,"23-Apr-03","100th","Australia",-12.1069,96.8709,3,"Bleaching (% of population)",0,"ERG106",0,299.91,554.060779571533,554.060779571533,554.060779571533,"Non MPA",NA,554.486430510879,554.486430510879,554.486430510879
"908",2003,"10-May-03","Ampana Tete (Tete B)","Indonesia",-0.853333,121.668,3,"Bleaching (% of population)",0,"ERG037",1.64,302.45,353421.417723976,86705.5064460855,19300.8682483435,"Non MPA",NA,195888.524571449,72892.1203902066,24002.0648905933
"909",2003,"10-May-03","Ampana Tete (Tete B)","Indonesia",-0.853333,121.668,10,"Bleaching (% of population)",0,"ERG037",1.64,302.45,353421.417723976,86705.5064460855,19300.8682483435,"Non MPA",NA,195888.524571449,72892.1203902066,24002.0648905933
"952",2003,"20-Sep-03","Apo Island Marine Reserve","Philippines",9.07117,123.272,11.5,"Bleaching (% of population)",2,"ERG046",0,301.45,2603342.49888848,647477.743714333,166399.225823402,"MPA",1994,2338337.66224527,578409.252573729,148459.17913723
"1018",2003,"07-Aug-03","Western Wandoka","Indonesia",-5.29972,123.521,5,"Bleaching (% of population)",1,"ERG038",0,300.26,425139.253124334,76659.7267513275,38521.3250541687,"MPA",0,279572.584193908,71424.6875334382,48815.7941433787
"1019",2003,"07-Aug-03","Western Wandoka","Indonesia",-5.29972,123.521,10,"Bleaching (% of population)",0,"ERG038",0,300.26,425139.253124334,76659.7267513275,38521.3250541687,"MPA",0,279572.584193908,71424.6875334382,48815.7941433787
"1027",2003,"24-Jun-03","Waha Wanci","Indonesia",-5.27056,123.518,10,"Bleaching (% of population)",0,"ERG038",1.38,300.25,429670.078685857,76001.3728084564,38521.3250541687,"MPA",0,285530.198820822,70570.1431940198,48815.7941433787
"1028",2003,"06-Aug-03","Waha Wanci","Indonesia",-5.27056,123.518,5,"Bleaching (% of population)",0,"ERG038",0,300.41,429670.078685857,76001.3728084564,38521.3250541687,"MPA",0,285530.198820822,70570.1431940198,48815.7941433787
"1029",2003,"06-Aug-03","Waha Wanci","Indonesia",-5.27056,123.518,10,"Bleaching (% of population)",0,"ERG038",0,300.41,429670.078685857,76001.3728084564,38521.3250541687,"MPA",0,285530.198820822,70570.1431940198,48815.7941433787
"1032",2003,"27-Aug-03","Barrier Reef","Indonesia",-5.23972,123.557,5,"Bleaching (% of population)",0,"ERG038",0,300.83,382446.706657507,66588.1491146088,38521.3250541687,"MPA",0,242301.676521026,68970.4191091657,48815.7941433787
